DATE,Open,High,Low,Close*,Adj Close**,Volume
2022-02-18,"4,374.75","4,411.50","4,321.00",4343.50,4343.50,"1,824,590"
2022-02-17,"4,464.25","4,474.75","4,367.25",4374.50,4374.50,"1,629,730"
2022-02-16,"4,458.75","4,484.50","4,422.75",4470.00,4470.00,"1,426,847"
2022-02-15,"4,393.50","4,468.00","4,381.75",4464.50,4464.50,"1,523,305"
2022-02-14,"4,411.75","4,428.00","4,354.00",4394.00,4394.00,"2,098,618"
2022-02-11,"4,494.50","4,520.50","4,393.25",4409.50,4409.50,"2,479,025"
2022-02-10,"4,582.25","4,583.75","4,476.00",4497.50,4497.50,"2,403,026"
2022-02-09,"4,519.00","4,585.00","4,517.25",4577.75,4577.75,"1,383,317"
2022-02-08,"4,484.00","4,523.75","4,456.25",4512.50,4512.50,"1,459,766"
2022-02-07,"4,497.00","4,514.50","4,462.75",4475.75,4475.75,"1,495,143"
2022-02-04,"4,518.00","4,532.50","4,438.50",4492.50,4492.50,"1,957,881"
2022-02-03,"4,545.75","4,548.25","4,462.00",4469.00,4469.00,"1,800,714"
2022-02-02,"4,552.00","4,586.00","4,535.25",4577.25,4577.25,"1,624,220"
2022-02-01,"4,493.25","4,554.75","4,474.00",4535.00,4535.00,"1,618,163"
2022-01-31,"4,423.50","4,507.75","4,395.50",4504.25,4504.25,"1,846,145"
2022-01-28,"4,348.00","4,426.00","4,266.25",4423.25,4423.25,"2,251,268"
2022-01-27,"4,345.25","4,422.00","4,263.25",4317.75,4317.75,"2,295,458"
2022-01-26,"4,308.75","4,446.25","4,294.25",4341.50,4341.50,"2,423,103"
2022-01-25,"4,402.75","4,406.75","4,276.50",4349.00,4349.00,"2,483,392"
2022-01-24,"4,389.00","4,427.50","4,212.75",4403.75,4403.75,"3,846,785"
2022-01-21,"4,454.25","4,487.00","4,381.25",4390.00,4390.00,"3,012,106"
2022-01-20,"4,526.00","4,594.25","4,437.75",4474.75,4474.75,"2,040,704"
2022-01-19,"4,577.75","4,603.00","4,517.25",4524.25,4524.25,"2,001,348"
2022-01-18,"4,666.00","4,671.75","4,560.00",4571.25,4571.25,"2,268,240"
2022-01-14,"4,655.00","4,667.00","4,606.00",4654.75,4654.75,"2,010,610"
2022-01-13,"4,719.25","4,736.25","4,642.50",4652.00,4652.00,"1,824,612"
2022-01-12,"4,704.00","4,739.50","4,695.00",4716.25,4716.25,"1,583,216"
2022-01-11,"4,663.50","4,707.50","4,627.25",4705.00,4705.00,"1,729,004"
2022-01-10,"4,671.25","4,681.75","4,572.75",4662.25,4662.25,"2,231,980"
2022-01-07,"4,695.00","4,705.75","4,653.75",4667.75,4667.75,"1,618,440"
2022-01-06,"4,692.00","4,715.75","4,662.00",4687.50,4687.50,"1,862,918"
2022-01-05,"4,783.50","4,788.25","4,689.50",4692.50,4692.50,"1,856,376"
2022-01-04,"4,785.25","4,808.25","4,764.50",4784.25,4784.25,"1,392,809"
2022-01-03,"4,771.00","4,791.25","4,747.50",4786.00,4786.00,"1,322,362"
2021-12-31,"4,773.75","4,778.50","4,750.50",4758.50,4758.50,"954,083"
2021-12-30,"4,784.75","4,799.75","4,767.25",4772.25,4772.25,"753,935"
2021-12-29,"4,781.00","4,796.00","4,770.00",4784.50,4784.50,"876,030"
2021-12-28,"4,780.50","4,798.00","4,770.50",4778.50,4778.50,"954,520"
2021-12-27,"4,717.00","4,784.25","4,713.25",4782.25,4782.25,"898,698"
2021-12-23,"4,689.00","4,731.25","4,684.25",4715.75,4715.75,"978,022"
2021-12-22,"4,641.75","4,690.50","4,622.25",4686.00,4686.00,"1,104,688"
2021-12-21,"4,567.75","4,643.00","4,565.75",4640.75,4640.75,"1,493,880"
2021-12-20,"4,612.00","4,621.50","4,520.25",4558.50,4558.50,"2,097,624"
2021-12-17,"4,674.25","4,677.75","4,629.50",4636.46,4636.46,"2,472,118"
2021-12-16,"4,711.50","4,752.50","4,651.25",4668.75,4668.75,"435,986"
2021-12-15,"4,637.75","4,715.00","4,611.25",4709.50,4709.50,"673,190"
2021-12-14,"4,672.00","4,686.00","4,606.00",4637.00,4637.00,"1,211,592"
2021-12-13,"4,711.25","4,731.00","4,664.75",4668.75,4668.75,"1,605,196"
2021-12-10,"4,669.25","4,712.75","4,664.25",4711.00,4711.00,"1,585,049"
2021-12-09,"4,697.25","4,706.00","4,662.25",4667.00,4667.00,"1,593,325"
2021-12-08,"4,695.25","4,712.00","4,671.75",4699.00,4699.00,"1,418,355"
2021-12-07,"4,594.25","4,697.25","4,587.25",4685.00,4685.00,"1,771,947"
2021-12-06,"4,542.25","4,611.75","4,531.50",4590.00,4590.00,"2,031,995"
2021-12-03,"4,587.25","4,606.50","4,492.00",4537.50,4537.50,"2,747,667"
2021-12-02,"4,514.75","4,593.75","4,505.50",4575.75,4575.75,"2,587,324"
2021-12-01,"4,587.50","4,650.75","4,497.75",4508.50,4508.50,"2,670,344"
2021-11-30,"4,657.25","4,667.50","4,557.00",4566.25,4566.25,"2,845,560"
2021-11-29,"4,589.00","4,669.75","4,588.75",4651.00,4651.00,"2,014,967"
2021-11-26,"4,700.50","4,717.00","4,577.25",4595.75,4595.75,"2,068,167"
