Date,Open,High,Low,Close,Adj Close,Volume
2021-12-08,4311.674316,4482.313965,3680.609131,3745.440430,3745.440430,150040750335
2021-12-15,3862.251465,4110.368652,3664.719971,4020.260010,4020.260010,143057188544
2021-12-22,4018.695801,4149.026855,3769.280029,3800.893066,3800.893066,95513983066
2021-12-29,3797.436279,3876.785156,3595.204834,3794.056641,3794.056641,88574585829
2022-01-05,3794.269043,3842.059814,2947.683594,3238.111572,3238.111572,129968916925
2022-01-12,3238.449951,3401.219971,3096.123535,3164.025146,3164.025146,90014692854
2022-01-19,3163.850342,3265.336914,2172.301270,2455.935059,2455.935059,138881401909
2022-01-26,2455.579102,2802.315430,2328.452148,2792.117188,2792.117188,99669024161
2022-02-02,2791.958984,3219.472656,2587.783447,3122.608643,3122.608643,100520286681
2022-02-09,3121.182617,3271.316162,2840.257568,3179.877197,3179.877197,95019804000
2022-02-16,3180.446777,3181.616943,2510.678711,2639.299316,2639.299316,100383000730
2022-02-23,2639.447021,3029.651611,2308.914795,2972.485107,2972.485107,125802938078
2022-03-02,2972.471924,3026.868164,2455.593750,2576.747559,2576.747559,89687022892
2022-03-09,2577.165283,2761.796387,2503.885254,2620.149658,2620.149658,79119063599
2022-03-16,2620.028564,3040.382813,2610.764404,2973.131104,2973.131104,102729099830
2022-03-23,2973.145020,3470.186279,2933.306641,3401.987793,3401.987793,113571836635
2022-03-30,3401.526123,3573.960205,3223.891357,3411.792480,3411.792480,127767828560
2022-04-06,3411.672119,3411.672119,2957.872314,3030.376465,3030.376465,122397790100
2022-04-13,3029.877930,3139.928711,2893.912842,3104.106445,3104.106445,95181763137
2022-04-20,3103.935059,3173.451416,2786.253174,2808.298340,2808.298340,113312270036
2022-04-27,2808.645996,2973.135010,2727.406250,2783.476318,2783.476318,115123356856
2022-05-04,2783.131104,2956.686768,2206.756836,2343.510986,2343.510986,170564487881
2022-05-11,2342.754150,2441.079346,1748.303101,2090.409180,2090.409180,183295596562
2022-05-18,2090.459961,2102.326660,1907.020508,1978.982788,1978.982788,101347280316
2022-05-25,1978.677002,2014.369507,1721.264771,1942.328003,1942.328003,134095245818
2022-06-01,1942.050659,1965.166626,1729.413574,1814.048340,1814.048340,111047726737
2022-06-08,1814.100708,1830.676025,1094.701904,1211.662842,1211.662842,171642079124
2022-06-15,1211.365967,1246.140625,896.109009,1124.824585,1124.824585,149861826816
2022-06-22,1125.372925,1272.131226,1049.763306,1144.579224,1144.579224,97743993975
2022-06-29,1144.524414,1165.682739,1009.094849,1134.541016,1134.541016,97595755329
2022-07-06,1134.822266,1262.885742,1038.135620,1038.191650,1038.191650,90373635685
2022-07-13,1038.186646,1607.033081,1019.220337,1542.975220,1542.975220,142040352627
2022-07-20,1542.954346,1654.428711,1362.951660,1441.806763,1441.806763,132918645979
2022-07-27,1443.726807,1774.576416,1423.618896,1632.945435,1632.945435,139883621820
2022-08-03,1633.051270,1806.886475,1585.326538,1703.025024,1703.025024,105020197473
2022-08-10,1702.906494,2022.791504,1665.090454,1878.139404,1878.139404,130596846285
2022-08-17,1877.934326,1951.675659,1534.298828,1662.769897,1662.769897,132277141612
2022-08-24,1662.695435,1718.183228,1427.728394,1523.838867,1523.838867,129059465520
2022-08-31,1524.286499,1680.595337,1520.188354,1561.748535,1561.748535,109142007752
2022-09-07,1560.906738,1784.497803,1500.013672,1580.787964,1580.787964,123774177444
2022-09-14,1574.858154,1648.945679,1287.420898,1324.388184,1324.388184,121603645220
2022-09-21,1324.215576,1396.891479,1229.426758,1330.127686,1330.127686,115682150956
2022-09-28,1329.541382,1368.743408,1267.869263,1362.126587,1362.126587,81141154152
2022-10-05,1361.972900,1380.404907,1272.737671,1279.575684,1279.575684,61229828677
2022-10-12,1279.732300,1339.744751,1209.278198,1310.447021,1310.447021,73076519821
2022-10-19,1310.563110,1509.985474,1260.666748,1461.665405,1461.665405,83317316982
2022-10-26,1461.133179,1652.382202,1460.428711,1579.704590,1579.704590,144856130001
2022-11-02,1579.497925,1661.334717,1259.443115,1332.835571,1332.835571,138277218319
2022-11-09,1333.122437,1341.791138,1083.285645,1251.736206,1251.736206,136874498886
2022-11-16,1251.808838,1264.486328,1081.138184,1135.173462,1135.173462,71393640270
2022-11-23,1135.421509,1227.038086,1130.022827,1216.901245,1216.901245,50908311730
2022-11-30,1216.928711,1302.237549,1215.497925,1271.653809,1271.653809,44964816351
2022-12-07,1271.553101,1341.439331,1224.447998,1320.549194,1320.549194,38294157190
2022-12-14,1320.688599,1346.174438,1160.377197,1217.703613,1217.703613,43217517629
2022-12-21,1217.586426,1230.418091,1187.127808,1212.791626,1212.791626,28292988947
2022-12-28,1212.736572,1219.860596,1185.702148,1214.778809,1214.778809,25756490336
2023-01-04,1214.718628,1342.757202,1213.168823,1336.586060,1336.586060,35264370671
2023-01-11,1336.486816,1594.039795,1323.583130,1567.846069,1567.846069,64502434291
2023-01-18,1567.698975,1674.179321,1509.422852,1556.604248,1556.604248,58138435315
2023-01-25,1556.807495,1653.724976,1530.797852,1586.535400,1586.535400,57489308858
2023-02-01,1586.488159,1704.458130,1566.857300,1672.003540,1672.003540,54564718726
2023-02-08,1671.905273,1688.527222,1470.023926,1556.875122,1556.875122,55725582950
2023-02-15,1556.765137,1732.801147,1545.689697,1658.036377,1658.036377,61398133624
2023-02-22,1658.140991,1674.601563,1567.631714,1605.895142,1605.895142,52060907895
2023-03-01,1606.040405,1672.051147,1543.127563,1561.933105,1561.933105,46214181648
2023-03-08,1561.977905,1779.917847,1378.525391,1703.507080,1703.507080,87522715582
2023-03-15,1705.189941,1843.844116,1616.630371,1806.760742,1806.760742,75773106126
2023-03-22,1804.957031,1853.888062,1690.516602,1772.785645,1772.785645,64948003818
2023-03-29,1772.899902,1886.594604,1765.518921,1871.005127,1871.005127,59808367232
2023-04-05,1870.965088,1937.497559,1828.700073,1892.189697,1892.189697,55573771690
2023-04-12,1891.949707,2137.445068,1860.036865,2104.537354,2104.537354,74573256795
2023-04-19,2103.946289,2104.857178,1805.322876,1866.753662,1866.753662,67841696845
2023-04-26,1866.148926,1962.567627,1792.463867,1870.789307,1870.789307,63555292406
2023-05-03,1870.687134,2017.559448,1818.450562,1848.603149,1848.603149,56914894722
2023-05-10,1848.213501,1886.800293,1742.403809,1824.121460,1824.121460,49050266694
2023-05-17,1824.068359,1869.343994,1774.195068,1854.380615,1854.380615,34514709136
2023-05-24,1854.299683,1926.421753,1763.365112,1901.026611,1901.026611,39699214105
2023-05-31,1901.098267,1912.205688,1780.211548,1884.494873,1884.494873,42892607879
2023-06-07,1884.372925,1893.809082,1721.443115,1739.037598,1739.037598,44659891443
2023-06-14,1739.250122,1793.313965,1624.138306,1792.119995,1792.119995,42149272911
2023-06-21,1791.994995,1932.531616,1788.489258,1889.703369,1889.703369,56769247835
2023-06-28,1889.906494,1974.775024,1822.102783,1936.633545,1936.633545,50730333854
2023-07-05,1936.796753,1956.012329,1832.025391,1878.336060,1878.336060,41341547396
2023-07-12,1878.322021,2026.204956,1864.496094,1897.599243,1897.599243,49323500443
2023-07-19,1897.797241,1919.264404,1836.852417,1857.741943,1857.741943,37143141763
2023-07-26,1857.696533,1886.974121,1817.920776,1871.792114,1871.792114,32400642454
2023-08-02,1873.468140,1877.511475,1804.716675,1855.807373,1855.807373,33500518185
2023-08-09,1855.779419,1869.736572,1816.325073,1826.932739,1826.932739,26896450571
2023-08-16,1827.036377,1829.361206,1551.713257,1633.892578,1633.892578,50128279910
2023-08-23,1634.401733,1742.637329,1627.446777,1729.725708,1729.725708,38901216232
2023-08-30,1729.676636,1730.564697,1603.034180,1633.629395,1633.629395,32122497915
2023-09-06,1633.912109,1657.303711,1533.426758,1592.429443,1592.429443,35421829192
2023-09-13,1592.892334,1669.015381,1582.217529,1643.544678,1643.544678,31041848267
2023-09-20,1643.495361,1649.619141,1565.025513,1593.417236,1593.417236,26936641698
2023-09-27,1593.108276,1750.595703,1585.368896,1656.685669,1656.685669,39094368397
2023-10-04,1656.735962,1659.609863,1553.006958,1567.713013,1567.713013,33642809653
2023-10-11,1567.680786,1628.156250,1523.237549,1565.439575,1565.439575,34227744561
2023-10-18,1565.382813,1852.684448,1543.585083,1784.437500,1784.437500,55848308654
2023-10-25,1784.905029,1865.095215,1751.440063,1816.458984,1816.458984,50725753779
2023-11-01,1815.872070,1914.582642,1779.635498,1888.124268,1888.124268,58275471253
2023-11-08,1887.119019,2134.691406,1874.545654,1979.052612,1979.052612,91791199869
2023-11-15,1979.472656,2088.662354,1910.445435,1937.066772,1937.066772,81460286741
2023-11-22,1933.583130,2132.481201,1933.162964,2049.338135,2049.338135,67244668001
2023-11-29,2049.186768,2306.570313,2020.756592,2293.841797,2293.841797,76860862760
2023-12-06,2293.628174,2401.760498,2160.358154,2202.038086,2202.038086,87464265738
2023-12-13,2202.600342,2331.601563,2120.127441,2177.872559,2177.872559,70706989845
2023-12-20,2177.239502,2341.947510,2161.218750,2231.465332,2231.465332,77557523954
2023-12-27,2231.393066,2445.017578,2215.140381,2355.836426,2355.836426,75936097774
2024-01-03,2355.981445,2385.117676,2113.925293,2344.827148,2344.827148,82420664873
2024-01-10,2344.923584,2710.421875,2341.943115,2587.691162,2587.691162,117661038001
2024-01-17,2587.044678,2592.737061,2414.710938,2489.498535,2489.498535,33746323976
2024-01-20,2489.847656,2489.847656,2456.095703,2463.284180,2463.284180,5796542464
